,train,val,test
N001a001,True,False,False
N001a002,True,False,False
N003a002,True,False,False
N003a003,True,False,False
N004a001,True,False,False
N004a002,True,False,False
N004a003,True,False,False
N004a004,True,False,False
N004a007,True,False,False
N004a008,True,False,False
N004a010,True,False,False
N004a011,True,False,False
N004a012,True,False,False
N004a013,True,False,False
N004a016,True,False,False
N004a017,True,False,False
N004a021,True,False,False
N004a023,True,False,False
N004a025,True,False,False
N004a027,True,False,False
N004a029,True,False,False
N004a032,True,False,False
N004a033,True,False,False
N004a034,True,False,False
N004a035,True,False,False
N004a036,True,False,False
N004a039,True,False,False
N004a040,True,False,False
N004a041,True,False,False
N004a042,True,False,False
N004a043,True,False,False
N004a044,True,False,False
N004a045,True,False,False
N004a046,True,False,False
N004a049,True,False,False
N004a050,True,False,False
N004a051,True,False,False
N004a054,True,False,False
N004a056,True,False,False
N004a057,True,False,False
N004a059,True,False,False
N004a060,True,False,False
N004a062,True,False,False
N004a063,True,False,False
N004a064,True,False,False
N004a065,True,False,False
N004a066,True,False,False
N004a067,True,False,False
N004a068,True,False,False
N004a071,True,False,False
N004a072,True,False,False
N004a073,True,False,False
N004a074,True,False,False
N004a075,True,False,False
N004a076,True,False,False
N004a078,True,False,False
N004a081,True,False,False
N004a082,True,False,False
N004a083,True,False,False
N004a084,True,False,False
N004a085,True,False,False
N004a086,True,False,False
N004a088,True,False,False
N004a089,True,False,False
N004a091,True,False,False
N004a092,True,False,False
N004a095,True,False,False
N004a096,True,False,False
N004a098,True,False,False
N004a099,True,False,False
N004a101,True,False,False
N004a102,True,False,False
N004a103,True,False,False
N004a105,True,False,False
N004a106,True,False,False
N004a107,True,False,False
N004a108,True,False,False
N004a109,True,False,False
N004a111,True,False,False
N004a112,True,False,False
N004a113,True,False,False
N004a115,True,False,False
N004a117,True,False,False
N004a118,True,False,False
N004a121,True,False,False
N004a122,True,False,False
N004a123,True,False,False
N004a124,True,False,False
N004a125,True,False,False
N004a126,True,False,False
N004a127,True,False,False
N004a128,True,False,False
N004a129,True,False,False
N004a131,True,False,False
N004a132,True,False,False
N004a133,True,False,False
N004a134,True,False,False
N004a135,True,False,False
N004a136,True,False,False
N004a137,True,False,False
N005a001,True,False,False
N005a003,True,False,False
N005a004,True,False,False
N005a005,True,False,False
N005a007,True,False,False
N005a009,True,False,False
N005a010,True,False,False
N005a011,True,False,False
N005a012,True,False,False
N005a015,True,False,False
N005a016,True,False,False
N005a017,True,False,False
N005a020,True,False,False
N005a021,True,False,False
N005a022,True,False,False
N005a023,True,False,False
N006a001,True,False,False
N006a002,True,False,False
N006a004,True,False,False
N006a005,True,False,False
N006a006,True,False,False
N006a009,True,False,False
N006a010,True,False,False
N007a001,True,False,False
N007a003,True,False,False
N007a004,True,False,False
N009a002,True,False,False
N017a001,True,False,False
F005a02,True,False,False
F006a01,True,False,False
F006a10,True,False,False
F030a12,True,False,False
F030a14,True,False,False
F030a17,True,False,False
F033a01,True,False,False
F033a03,True,False,False
F007a01,True,False,False
F033a05,True,False,False
F033a07,True,False,False
F033a10,True,False,False
F033a12,True,False,False
F033a13,True,False,False
F033a14,True,False,False
F007a02,True,False,False
F033a17,True,False,False
F033a18,True,False,False
F033a20,True,False,False
F033a21,True,False,False
F033a22,True,False,False
F033a24,True,False,False
F033a26,True,False,False
F007a03,True,False,False
F033a29,True,False,False
F034a05,True,False,False
F034a06,True,False,False
F034a07,True,False,False
F034a08,True,False,False
F034a10,True,False,False
F007a04,True,False,False
F007a05,True,False,False
F007a06,True,False,False
F007a07,True,False,False
F007a08,True,False,False
F006a02,True,False,False
F007a10,True,False,False
F007a11,True,False,False
F007a17,True,False,False
F007a18,True,False,False
F007a19,True,False,False
F006a03,True,False,False
F009a01,True,False,False
F009a03,True,False,False
F009a04,True,False,False
F010a02,True,False,False
F010a03,True,False,False
F010a04,True,False,False
F010a05,True,False,False
F006a04,True,False,False
F011a02,True,False,False
F012a01,True,False,False
F012a02,True,False,False
F012a03,True,False,False
F012a06,True,False,False
F013a01,True,False,False
F013a02,True,False,False
F013a03,True,False,False
F006a05,True,False,False
F013a04,True,False,False
F013a05,True,False,False
F013a07,True,False,False
F013a09,True,False,False
F013a10,True,False,False
F013a11,True,False,False
F013a12,True,False,False
F013a13,True,False,False
F006a06,True,False,False
F017a01,True,False,False
F017a04,True,False,False
F017a06,True,False,False
F017a07,True,False,False
F017a09,True,False,False
F006a07,True,False,False
F017a10,True,False,False
F018a01,True,False,False
F018a03,True,False,False
F018a04,True,False,False
F018a05,True,False,False
F018a06,True,False,False
F018a07,True,False,False
F018a08,True,False,False
F018a09,True,False,False
F006a08,True,False,False
F018a11,True,False,False
F018a12,True,False,False
F021a02,True,False,False
F021a04,True,False,False
F021a05,True,False,False
F006a09,True,False,False
