,train,val,test
N001a001,True,False,False
N003a002,True,False,False
N004a001,True,False,False
N004a002,True,False,False
N004a004,True,False,False
N004a005,True,False,False
N004a006,True,False,False
N004a008,True,False,False
N004a011,True,False,False
N004a013,True,False,False
N004a014,True,False,False
N004a016,True,False,False
N004a017,True,False,False
N004a018,True,False,False
N004a020,True,False,False
N004a021,True,False,False
N004a022,True,False,False
N004a023,True,False,False
N004a024,True,False,False
N004a026,True,False,False
N004a028,True,False,False
N004a029,True,False,False
N004a030,True,False,False
N004a031,True,False,False
N004a032,True,False,False
N004a033,True,False,False
N004a034,True,False,False
N004a035,True,False,False
N004a036,True,False,False
N004a037,True,False,False
N004a038,True,False,False
N004a041,True,False,False
N004a042,True,False,False
N004a045,True,False,False
N004a046,True,False,False
N004a047,True,False,False
N004a048,True,False,False
N004a050,True,False,False
N004a051,True,False,False
N004a052,True,False,False
N004a053,True,False,False
N004a054,True,False,False
N004a055,True,False,False
N004a056,True,False,False
N004a057,True,False,False
N004a059,True,False,False
N004a060,True,False,False
N004a061,True,False,False
N004a063,True,False,False
N004a066,True,False,False
N004a068,True,False,False
N004a069,True,False,False
N004a070,True,False,False
N004a071,True,False,False
N004a072,True,False,False
N004a073,True,False,False
N004a075,True,False,False
N004a076,True,False,False
N004a079,True,False,False
N004a082,True,False,False
N004a083,True,False,False
N004a084,True,False,False
N004a088,True,False,False
N004a090,True,False,False
N004a091,True,False,False
N004a094,True,False,False
N004a095,True,False,False
N004a096,True,False,False
N004a097,True,False,False
N004a099,True,False,False
N004a100,True,False,False
N004a101,True,False,False
N004a102,True,False,False
N004a104,True,False,False
N004a105,True,False,False
N004a107,True,False,False
N004a108,True,False,False
N004a111,True,False,False
N004a113,True,False,False
N004a114,True,False,False
N004a116,True,False,False
N004a117,True,False,False
N004a118,True,False,False
N004a120,True,False,False
N004a121,True,False,False
N004a123,True,False,False
N004a124,True,False,False
N004a125,True,False,False
N004a126,True,False,False
N004a127,True,False,False
N004a129,True,False,False
N004a131,True,False,False
N004a132,True,False,False
N004a133,True,False,False
N004a134,True,False,False
N004a136,True,False,False
N004a137,True,False,False
N005a001,True,False,False
N005a002,True,False,False
N005a003,True,False,False
N005a004,True,False,False
N005a005,True,False,False
N005a006,True,False,False
N005a008,True,False,False
N005a010,True,False,False
N005a011,True,False,False
N005a012,True,False,False
N005a013,True,False,False
N005a014,True,False,False
N005a016,True,False,False
N005a017,True,False,False
N005a018,True,False,False
N005a019,True,False,False
N005a020,True,False,False
N005a021,True,False,False
N005a023,True,False,False
N006a001,True,False,False
N006a005,True,False,False
N006a006,True,False,False
N006a007,True,False,False
N006a008,True,False,False
N006a009,True,False,False
N007a001,True,False,False
N007a002,True,False,False
N007a003,True,False,False
N009a001,True,False,False
N009a002,True,False,False
N011a001,True,False,False
F005a02,True,False,False
F030a15,True,False,False
F030a17,True,False,False
F030a18,True,False,False
F033a01,True,False,False
F033a02,True,False,False
F033a03,True,False,False
F033a04,True,False,False
F007a01,True,False,False
F033a09,True,False,False
F033a10,True,False,False
F033a11,True,False,False
F033a13,True,False,False
F033a14,True,False,False
F033a15,True,False,False
F033a16,True,False,False
F007a02,True,False,False
F033a17,True,False,False
F033a18,True,False,False
F033a19,True,False,False
F033a21,True,False,False
F033a23,True,False,False
F033a24,True,False,False
F033a25,True,False,False
F033a26,True,False,False
F007a03,True,False,False
F033a27,True,False,False
F033a28,True,False,False
F033a29,True,False,False
F034a05,True,False,False
F034a07,True,False,False
F034a08,True,False,False
F034a11,True,False,False
F007a04,True,False,False
F007a05,True,False,False
F007a06,True,False,False
F007a07,True,False,False
F007a08,True,False,False
F006a02,True,False,False
F007a11,True,False,False
F007a12,True,False,False
F007a13,True,False,False
F007a16,True,False,False
F007a17,True,False,False
F007a19,True,False,False
F007a22,True,False,False
F009a01,True,False,False
F009a02,True,False,False
F010a02,True,False,False
F010a04,True,False,False
F010a05,True,False,False
F006a04,True,False,False
F011a01,True,False,False
F011a02,True,False,False
F012a02,True,False,False
F012a04,True,False,False
F012a06,True,False,False
F013a01,True,False,False
F013a03,True,False,False
F006a05,True,False,False
F013a04,True,False,False
F013a06,True,False,False
F013a07,True,False,False
F013a08,True,False,False
F013a09,True,False,False
F013a11,True,False,False
F013a12,True,False,False
F013a13,True,False,False
F013a15,True,False,False
F015a01,True,False,False
F017a01,True,False,False
F017a05,True,False,False
F017a06,True,False,False
F017a08,True,False,False
F017a09,True,False,False
F006a07,True,False,False
F017a10,True,False,False
F018a01,True,False,False
F018a02,True,False,False
F018a03,True,False,False
F018a04,True,False,False
F018a05,True,False,False
F018a06,True,False,False
F018a07,True,False,False
F018a08,True,False,False
F018a09,True,False,False
F006a08,True,False,False
F021a01,True,False,False
F021a02,True,False,False
F021a03,True,False,False
F030a01,True,False,False
F030a03,True,False,False
F030a04,True,False,False
F030a05,True,False,False
F030a06,True,False,False
F030a08,True,False,False
F030a09,True,False,False
F030a10,True,False,False
N004a049,False,True,False
N004a086,False,True,False
N004a098,False,True,False
N004a110,False,True,False
N004a043,False,True,False
N006a002,False,True,False
N004a027,False,True,False
N004a078,False,True,False
N004a106,False,True,False
N004a115,False,True,False
N004a012,False,True,False
N007a004,False,True,False
N004a093,False,True,False
N004a007,False,True,False
N004a074,False,True,False
N003a003,False,True,False
N004a089,False,True,False
N004a010,False,True,False
N004a025,False,True,False
N004a015,False,True,False
N004a128,False,True,False
N004a109,False,True,False
N004a119,False,True,False
N004a085,False,True,False
N004a044,False,True,False
N005a022,False,True,False
N004a077,False,True,False
F009a03,False,True,False
F006a01,False,True,False
F010a01,False,True,False
F033a07,False,True,False
F012a03,False,True,False
F021a05,False,True,False
F021a04,False,True,False
F030a07,False,True,False
F030a12,False,True,False
F013a10,False,True,False
F034a09,False,True,False
F009a04,False,True,False
F006a06,False,True,False
F033a12,False,True,False
F030a13,False,True,False
F012a01,False,True,False
F017a04,False,True,False
F007a18,False,True,False
F007a09,False,True,False
F034a10,False,True,False
F007a21,False,True,False
N004a092,False,False,True
N017a001,False,False,True
N004a081,False,False,True
N004a080,False,False,True
N004a135,False,False,True
N004a103,False,False,True
N004a040,False,False,True
N004a087,False,False,True
N006a004,False,False,True
N005a007,False,False,True
